"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,89";"2016-07-22 00:00:00"
"Coatue Management, L.L.C.";"Philips Lighting N.V.";"NL0011821392";"0,90";"2016-07-22 00:00:00"
"Coatue Management, L.L.C.";"Philips Lighting N.V.";"NL0011821392";"0,81";"2016-07-19 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,94";"2016-07-19 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,18";"2016-07-18 00:00:00"
"Coatue Management, L.L.C.";"Philips Lighting N.V.";"NL0011821392";"0,72";"2016-07-15 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,03";"2016-07-15 00:00:00"
"Coatue Management, L.L.C.";"Philips Lighting N.V.";"NL0011821392";"0,68";"2016-07-14 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"0,89";"2016-07-14 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,69";"2016-07-13 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,26";"2016-07-13 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"0,70";"2016-07-13 00:00:00"
"Coatue Management, L.L.C.";"Philips Lighting N.V.";"NL0011821392";"0,53";"2016-07-08 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,33";"2016-07-07 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,20";"2016-07-05 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,13";"2016-07-04 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,05";"2016-06-30 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,91";"2016-06-23 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,79";"2016-06-20 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,80";"2016-06-17 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,64";"2016-06-16 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,52";"2016-06-15 00:00:00"
"Davidson Kempner European Partners, LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,60";"2016-06-09 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,31";"2016-06-07 00:00:00"
"Davidson Kempner European Partners, LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,51";"2016-06-07 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,80";"2016-06-06 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,21";"2016-06-01 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,72";"2016-05-25 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,60";"2016-05-19 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,60";"2016-05-13 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,59";"2016-05-09 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,60";"2016-05-06 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,10";"2016-05-05 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,04";"2016-05-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,50";"2016-05-02 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,76";"2016-04-29 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,40";"2016-04-15 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"0,90";"2016-04-12 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,60";"2016-04-08 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,58";"2016-04-06 00:00:00"
"Canada Pension Plan Investment Board";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,63";"2016-04-05 00:00:00"
"Canada Pension Plan Investment Board";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,55";"2016-04-04 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,31";"2016-04-01 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,60";"2016-04-01 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"0,80";"2016-03-31 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"0,75";"2016-03-29 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,29";"2016-03-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,30";"2016-03-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,21";"2016-03-15 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"0,60";"2016-03-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,18";"2016-03-11 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"0,50";"2016-03-11 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,79";"2016-03-09 00:00:00"
