
Importing updates of last 60 months into SourceData : XLIS.db.
Checking updates from 20121118 and adding to XLIS.db...

('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.72, '20140327', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.58, '20140326', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.8, '20140325', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.62, '20140324', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.53, '20140321', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.59, '20150527', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.64, '20150526', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.79, '20150522', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.92, '20150521', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.07, '20150520', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.24, '20150519', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.57, '20150518', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.71, '20150515', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.94, '20150514', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.16, '20150513', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.38, '20150512', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.44, '20150511', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.59, '20150424', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.69, '20150423', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.74, '20150422', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.87, '20150420', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.9, '20150417', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 3.04, '20150128', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.95, '20150127', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.83, '20150126', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.66, '20150123', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.44, '20150119', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.2, '20150116', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.75, '20150106', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.62, '20141217', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.73, '20141216', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.82, '20141215', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.96, '20141205', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.84, '20141201', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.93, '20141022', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.15, '20141021', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.82, '20140915', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.7, '20140911', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.6, '20140910', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.5, '20140908', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.37, '20140905', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.11, '20140828', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.03, '20140717', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.87, '20140716', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.57, '20140715', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.73, '20140703', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.88, '20140606', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.94, '20140605', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.01, '20140521', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.91, '20140513', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.81, '20140430', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.74, '20140429', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.37, '20140425', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.83, '20140424', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.75, '20140423', 'XLIS', '20171118_15h06')
('ELLIOTT CAPITAL ADVISORS L.P *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.64, '20140422', 'XLIS', '20171118_15h06')
('FALCON EDGE CAPITAL, LP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.82, '20150105', 'XLIS', '20171118_15h06')
('FALCON EDGE CAPITAL, LP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.13, '20140728', 'XLIS', '20171118_15h06')
('FALCON EDGE CAPITAL, LP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.0, '20140716', 'XLIS', '20171118_15h06')
('FALCON EDGE CAPITAL, LP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.95, '20140715', 'XLIS', '20171118_15h06')
('FALCON EDGE CAPITAL, LP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.62, '20140714', 'XLIS', '20171118_15h06')
('FALCON EDGE CAPITAL, LP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.5, '20140711', 'XLIS', '20171118_15h06')
('FIL FUND MANAGEMENT LIMITED', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.51, '20130528', 'XLIS', '20171118_15h06')
('GAP GESTORA DE RECURSOS LTDA *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.51, '20140922', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.59, '20161222', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.69, '20160926', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.79, '20160907', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.8, '20160620', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.7, '20160531', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.61, '20160524', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.51, '20160425', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.57, '20160229', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.99, '20160225', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.09, '20160223', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.17, '20160218', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.2, '20160113', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.16, '20151231', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.22, '20151110', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.17, '20151022', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.28, '20151012', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.38, '20151007', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.48, '20151001', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.5, '20150930', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.49, '20150917', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.58, '20150910', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.62, '20150907', 'XLIS', '20171118_15h06')
('GSA CAPITAL PARTNERS LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.5, '20150821', 'XLIS', '20171118_15h06')
