Extracting raw source data: XBRU
Checking updates from 20161024 and adding to XBRU.db...

('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.69, '20161204', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161205', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.69, '20161205', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161206', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.59, '20161206', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161207', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.59, '20161207', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161208', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.59, '20161208', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161209', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.59, '20161209', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161210', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.59, '20161210', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161211', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.59, '20161211', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161212', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161213', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161214', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161215', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161216', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161217', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161218', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161219', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161220', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161221', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161222', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161223', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161224', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161225', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161226', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161227', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161228', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161229', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161230', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20161231', 'XBRU', '20170424_22h30')
('Numeric Investors LLC', 'Ablynx', 'BE0003877942', 0.98, '20170101', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Ablynx', 'BE0003877942', 0.7, '20170101', 'XBRU', '20170424_22h30')
('Linden Advisors LP', 'Ablynx', 'BE0003877942', 1.64, '20170101', 'XBRU', '20170424_22h30')
('gle.be', 'Ablynx', 'BE0003877942', 1.29, '20170101', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20170101', 'XBRU', '20170424_22h30')
('GLG PARTNERS LP', 'BPOST', 'BE0974268972', 0.5, '20170101', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Celyad', 'BE0974260896', 0.61, '20170101', 'XBRU', '20170424_22h30')
('Hengistbury Investment Partners LLP', 'Colruyt', 'BE0974256852', 0.52, '20170101', 'XBRU', '20170424_22h30')
('Linden Advisors LP', 'Econocom', 'BE0974266950', 0.63, '20170101', 'XBRU', '20170424_22h30')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 1.12, '20170101', 'XBRU', '20170424_22h30')
('BlackRock Investment Management (UK) Limited', 'EVS Broadcasting', 'BE0003820371', 0.59, '20170101', 'XBRU', '20170424_22h30')
('BlackRock Investment Management (UK) Limited', 'Fagron', 'BE0003874915', 0.6, '20170101', 'XBRU', '20170424_22h30')
('Marshall Wace LLP', 'Nyrstar', 'BE0003876936', 0.96, '20170101', 'XBRU', '20170424_22h30')
('Och-Ziff Management Europe Ltd.', 'Nyrstar', 'BE0003876936', 0.81, '20170101', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.59, '20170101', 'XBRU', '20170424_22h30')
('Polygon Global  Partners LLP', 'Nyrstar', 'BE0003876936', 0.82, '20170101', 'XBRU', '20170424_22h30')
('Menta Capital LLC', 'Nyrstar', 'BE0003876936', 0.5, '20170101', 'XBRU', '20170424_22h30')
('JPMorgan Asset Management (UK) Ltd', 'Nyrstar', 'BE0003876936', 0.7, '20170101', 'XBRU', '20170424_22h30')
('Adelphi Capital LLP', 'Ontex', 'BE0974276082', 1.22, '20170101', 'XBRU', '20170424_22h30')
('Citadel Advisors LLC', 'Proximus', 'BE0003810273', 1.06, '20170101', 'XBRU', '20170424_22h30')
('Marshall Wace LLP', 'Solvay SA', 'BE0003470755', 0.68, '20170101', 'XBRU', '20170424_22h30')
('Adage Capital Management L.P.', 'Solvay SA', 'BE0003470755', 0.71, '20170101', 'XBRU', '20170424_22h30')
('AQR Capital Management, LLC', 'Telenet', 'BE0003826436', 0.7, '20170101', 'XBRU', '20170424_22h30')
('Numeric Investors LLC', 'Ablynx', 'BE0003877942', 0.98, '20170102', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Ablynx', 'BE0003877942', 0.7, '20170102', 'XBRU', '20170424_22h30')
('Linden Advisors LP', 'Ablynx', 'BE0003877942', 1.64, '20170102', 'XBRU', '20170424_22h30')
('gle.be', 'Ablynx', 'BE0003877942', 1.29, '20170102', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20170102', 'XBRU', '20170424_22h30')
('GLG PARTNERS LP', 'BPOST', 'BE0974268972', 0.5, '20170102', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Celyad', 'BE0974260896', 0.61, '20170102', 'XBRU', '20170424_22h30')
('Hengistbury Investment Partners LLP', 'Colruyt', 'BE0974256852', 0.52, '20170102', 'XBRU', '20170424_22h30')
('Linden Advisors LP', 'Econocom', 'BE0974266950', 0.63, '20170102', 'XBRU', '20170424_22h30')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 1.12, '20170102', 'XBRU', '20170424_22h30')
('BlackRock Investment Management (UK) Limited', 'EVS Broadcasting', 'BE0003820371', 0.59, '20170102', 'XBRU', '20170424_22h30')
('BlackRock Investment Management (UK) Limited', 'Fagron', 'BE0003874915', 0.6, '20170102', 'XBRU', '20170424_22h30')
('Och-Ziff Management Europe Ltd.', 'Nyrstar', 'BE0003876936', 0.81, '20170102', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.59, '20170102', 'XBRU', '20170424_22h30')
('Polygon Global  Partners LLP', 'Nyrstar', 'BE0003876936', 0.82, '20170102', 'XBRU', '20170424_22h30')
('Menta Capital LLC', 'Nyrstar', 'BE0003876936', 0.5, '20170102', 'XBRU', '20170424_22h30')
('JPMorgan Asset Management (UK) Ltd', 'Nyrstar', 'BE0003876936', 0.7, '20170102', 'XBRU', '20170424_22h30')
('Adelphi Capital LLP', 'Ontex', 'BE0974276082', 1.22, '20170102', 'XBRU', '20170424_22h30')
('Citadel Advisors LLC', 'Proximus', 'BE0003810273', 1.06, '20170102', 'XBRU', '20170424_22h30')
('Marshall Wace LLP', 'Solvay SA', 'BE0003470755', 0.68, '20170102', 'XBRU', '20170424_22h30')
('Adage Capital Management L.P.', 'Solvay SA', 'BE0003470755', 0.71, '20170102', 'XBRU', '20170424_22h30')
('AQR Capital Management, LLC', 'Telenet', 'BE0003826436', 0.7, '20170102', 'XBRU', '20170424_22h30')
('Numeric Investors LLC', 'Ablynx', 'BE0003877942', 0.98, '20170103', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Ablynx', 'BE0003877942', 0.7, '20170103', 'XBRU', '20170424_22h30')
('Linden Advisors LP', 'Ablynx', 'BE0003877942', 1.64, '20170103', 'XBRU', '20170424_22h30')
('gle.be', 'Ablynx', 'BE0003877942', 1.29, '20170103', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20170103', 'XBRU', '20170424_22h30')
('GLG PARTNERS LP', 'BPOST', 'BE0974268972', 0.5, '20170103', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Celyad', 'BE0974260896', 0.61, '20170103', 'XBRU', '20170424_22h30')
('Hengistbury Investment Partners LLP', 'Colruyt', 'BE0974256852', 0.52, '20170103', 'XBRU', '20170424_22h30')
('Linden Advisors LP', 'Econocom', 'BE0974266950', 0.63, '20170103', 'XBRU', '20170424_22h30')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 1.12, '20170103', 'XBRU', '20170424_22h30')
('BlackRock Investment Management (UK) Limited', 'EVS Broadcasting', 'BE0003820371', 0.59, '20170103', 'XBRU', '20170424_22h30')
('BlackRock Investment Management (UK) Limited', 'Fagron', 'BE0003874915', 0.6, '20170103', 'XBRU', '20170424_22h30')
('Och-Ziff Management Europe Ltd.', 'Nyrstar', 'BE0003876936', 0.81, '20170103', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.59, '20170103', 'XBRU', '20170424_22h30')
('Polygon Global  Partners LLP', 'Nyrstar', 'BE0003876936', 0.82, '20170103', 'XBRU', '20170424_22h30')
('Menta Capital LLC', 'Nyrstar', 'BE0003876936', 0.5, '20170103', 'XBRU', '20170424_22h30')
('JPMorgan Asset Management (UK) Ltd', 'Nyrstar', 'BE0003876936', 0.7, '20170103', 'XBRU', '20170424_22h30')
('Adelphi Capital LLP', 'Ontex', 'BE0974276082', 1.22, '20170103', 'XBRU', '20170424_22h30')
('Citadel Advisors LLC', 'Proximus', 'BE0003810273', 1.06, '20170103', 'XBRU', '20170424_22h30')
('Marshall Wace LLP', 'Solvay SA', 'BE0003470755', 0.68, '20170103', 'XBRU', '20170424_22h30')
('Adage Capital Management L.P.', 'Solvay SA', 'BE0003470755', 0.71, '20170103', 'XBRU', '20170424_22h30')
