Extracting raw source data: XBRU
Checking updates from 20130424 and adding to XBRU.db...

('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150119', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150120', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150121', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150122', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150123', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150124', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150125', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150126', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150127', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150128', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150129', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150130', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150131', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150201', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150202', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150203', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150204', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150205', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150206', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150207', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150208', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150209', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150210', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150211', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20150212', 'XBRU', '20170424_22h35')
